Kalenderwoche;Anzahl Testungen;Positiv getestet;Positiven-quote (%);Anzahl übermittelnde Labore
10/2020;64.388;1.634;;
11/2020;127.750;7.456;5,84;117
12/2020;373.856;25.847;6,91;153
13/2020;376.920;33.045;8,77;158
14/2020;416.510;37.591;9,03;162
15/2020;386.165;30.812;7,98;175
16/2020;339.983;22.724;6,68;172
17/2020;363.659;18.127;4,98;180
18/2020;327.799;12.600;3,84;178
19/2020;385.638;10.181;2,64;181
20/2020;431.682;7.142;1,65;183
21/2020;356.489;5.315;1,49;181
22/2020;408.078;4.335;1,06;175
23/2020;342.328;3.219;0,94;178
24/2020;327.980;2.956;0,90;175
25/2020;384.834;5.588;1,45;175
26/2020;472.823;3.919;0,83;182
27/2020;512.969;3.204;0,62;154
28/2020;513.572;3.042;0,59;182
29/2020;544.219;3.608;0,66;182
30/2020;556.634;4.537;0,82;187
31/2020;589.201;5.888;1,00;175
32/2020;719.476;7.374;1,02;174
33/2020;871.191;8.545;0,98;189
34/2020;1.034.449;8.868;0,86;197
35/2020;1.133.623;8.273;0,73;196
36/2020;1.052.942;8.203;0,78;195
37/2020;1.148.465;10.403;0,91;197
38/2020;1.147.879;13.647;1,19;206
39/2020;1.220.279;15.178;1,24;200
40/2020;1.129.127;19.930;1,77;198
41/2020;1.218.988;30.220;2,48;198
42/2020;1.284.349;46.000;3,58;205
43/2020;1.445.463;80.097;5,54;209
44/2020;1.663.992;118.111;7,10;210
45/2020;1.634.729;128.537;7,86;208
46/2020*;1.467.454;128.986;8,79;206
47/2020*;1.400.145;131.185;9,37;204
48/2020*;1.381.117;128.882;9,33;206
49/2020*;1.395.790;138.305;9,91;208
50/2020*;1.516.038;169.520;11,18;206
51/2020*;1.672.033;188.283;11,26;212
52/2020*;1.091.427;141.427;12,96;208
53/2020*;844.502;129.872;15,38;204
1/2021*;1.227.527;157.569;12,84;204
2/2021*;1.184.400;123.851;10,46;204
3/2021*;1.100.346;109.391;9,94;202
4/2021*;1.116.314;95.187;8,53;195
Summe;40.705.522;2.398.614;;
